flightNo,airline,departureTime,arrivalTime,firstCount,busCount,econCount,windowCount,aisleCount,totalSeats, SourceAirport, DestAirport
28,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'APG', 'ASY'
29,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ASY', 'APG'
44,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'CVO', 'ACV'
45,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ACV', 'CVO'
54,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AHD', 'AHT'
55,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'AHT', 'AHD'
90,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ATO', 'ABR'
91,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'ABR', 'ATO'
108,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'ANV', 'MMI'
109,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'MMI', 'ANV'
142,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'ALI', 'AKC'
143,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'AKC', 'ALI'
148,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'HMN', 'ABL'
149,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ABL', 'HMN'
198,1,2019-12-15 06:45:00,2019-12-15 08:45:00,16,36,129,61,64,181, 'NGZ', 'AAF'
199,1,2019-12-15 20:00:00,2019-12-15 22:00:00,16,36,129,61,64,181, 'AAF', 'NGZ'
226,1,2019-12-17 20:30:00,2019-12-17 23:30:00,16,36,129,61,64,181, 'CVO', 'KKI'
227,1,2019-12-18 00:30:00,2019-12-18 03:30:00,16,36,129,61,64,181, 'KKI', 'CVO'
276,1,2019-12-24 13:00:00,2019-12-24 20:00:00,16,36,129,61,64,181, 'ARB', 'ANV'
277,1,2019-12-26 23:00:00,2019-12-27 06:00:00,16,36,129,61,64,181, 'ANV', 'ARB'
308,1,2019-12-18 07:10:00,2019-12-18 09:10:00,16,36,129,61,64,181, 'ATE', 'AKC'
